datetime,X
2015-03-17 06:37:00+00:00,20581.9
2015-03-17 06:38:00+00:00,20579.9
2015-03-17 06:39:00+00:00,20577.2
2015-03-17 06:40:00+00:00,20572.8
2015-03-17 06:41:00+00:00,20570.0
2015-03-17 06:42:00+00:00,20567.3
2015-03-17 06:43:00+00:00,20565.7
2015-03-17 06:44:00+00:00,20563.4
2015-03-17 06:45:00+00:00,20560.0
2015-03-17 06:46:00+00:00,20559.1
2015-03-17 06:47:00+00:00,20558.7
2015-03-17 06:48:00+00:00,20555.7
2015-03-17 06:49:00+00:00,20551.1
2015-03-17 06:50:00+00:00,20548.5
2015-03-17 06:51:00+00:00,20552.0
2015-03-17 06:52:00+00:00,20551.7
2015-03-17 06:53:00+00:00,20545.3
2015-03-17 06:54:00+00:00,20540.8
2015-03-17 06:55:00+00:00,20538.6
2015-03-17 06:56:00+00:00,20538.9
2015-03-17 06:57:00+00:00,20536.9
2015-03-17 06:58:00+00:00,20532.4
2015-03-17 06:59:00+00:00,20529.1
2015-03-17 07:00:00+00:00,20526.5
2015-03-17 07:01:00+00:00,20521.5
2015-03-17 07:02:00+00:00,20522.1
2015-03-17 07:03:00+00:00,20523.0
2015-03-17 07:04:00+00:00,20523.4
2015-03-17 07:05:00+00:00,20525.8
2015-03-17 07:06:00+00:00,20525.0
2015-03-17 07:07:00+00:00,20523.8
2015-03-17 07:08:00+00:00,20522.7
2015-03-17 07:09:00+00:00,20521.8
2015-03-17 07:10:00+00:00,20520.1
2015-03-17 07:11:00+00:00,20520.5
2015-03-17 07:12:00+00:00,20519.9
2015-03-17 07:13:00+00:00,20518.0
2015-03-17 07:14:00+00:00,20516.6
2015-03-17 07:15:00+00:00,20516.2
2015-03-17 07:16:00+00:00,20517.6
2015-03-17 07:17:00+00:00,20518.3
2015-03-17 07:18:00+00:00,20519.7
2015-03-17 07:19:00+00:00,20522.3
2015-03-17 07:20:00+00:00,20523.8
2015-03-17 07:21:00+00:00,20523.9
2015-03-17 07:22:00+00:00,20523.7
2015-03-17 07:23:00+00:00,20523.4
2015-03-17 07:24:00+00:00,20523.5
2015-03-17 07:25:00+00:00,20522.8
2015-03-17 07:26:00+00:00,20522.9
2015-03-17 07:27:00+00:00,20522.7
2015-03-17 07:28:00+00:00,20521.3
2015-03-17 07:29:00+00:00,20520.4
2015-03-17 07:30:00+00:00,20517.9
2015-03-17 07:31:00+00:00,20515.4
2015-03-17 07:32:00+00:00,20515.2
2015-03-17 07:33:00+00:00,20513.3
2015-03-17 07:34:00+00:00,20509.1
2015-03-17 07:35:00+00:00,20502.5
2015-03-17 07:36:00+00:00,20500.4
2015-03-17 07:37:00+00:00,20499.1
2015-03-17 07:38:00+00:00,20498.5
2015-03-17 07:39:00+00:00,20500.4
2015-03-17 07:40:00+00:00,20501.6
